"00000001","F1000","Fudge","Invenire percipitur eum ea, in saepe persequeris has, meis dicta albucius an vix. Utinam nonumes necessitatibus vel ne. Ad mea tacimates temporibus. Duo dicam timeam integre in. Ius an libris latine, ludus inimicus quo te, ridens scripta placerat in pri. Nec ex feugiat abhorreant.","0.10","1","95_2542284"
"00000002","S2000","Sugar Cookies","Ei vix patrioque similique referrentur, duo erant copiosae cu. Quo ea tibique legendos, mucius putent sea id, mel eu discere philosophia. Ex copiosae platonem expetendis mea, omnium fastidii electram mel ut, evertitur adolescens appellantur vix ex. No vim facer diceret numquam, vix te nostro probatus. Nemore dolorum te vim.","0.20","1","167_2835774"
"00000003","C3000","Chocolate Angelfood Cupcakes","Id ius detracto constituam, his possit platonem ne. Mel ad dolorum vivendum, vocent iisque salutandi in sit, nobis omnes eum ut. Nam simul tincidunt ei, in viris fabulas eos. Te per animal impetus, prompta platonem eloquentiam ea usu, efficiendi appellantur has in.","0.30","1","430_3150132"
"00000004","P4000","Peanut Brittle","Aliquam maiestatis mea eu. Vel quot rebum adipiscing id, soleat diceret cum eu. In utamur intellegebat cum, dicunt comprehensam his ut. Eu tale tempor convenire sed, duis choro vix id, offendit oportere consulatu cum in. Velit perfecto ne eos, mea iusto soleat singulis eu. Id ubique perpetua pro, sed no novum vitae.","0.40","1","700_3473780"
"00000005","T5000","Toasted Marshmallows","Ne mea velit tation euismod. Nec iudico delicata an. Ne mei magna facilisis conclusionemque, errem offendit mel ad, id pri graeci partiendo dignissim. Sed cu erant dicam accusata. Justo appetere duo cu. Sea no eruditi accusam salutatus, eu posse dicta labores ius.","0.50","1","167_2835774"
"00000006","F6000","Fruit Salad","Vis quem voluptatum in. Id magna inimicus usu. Quas congue facilisi no eum, graeci sensibus explicari usu ex. Eos maiestatis repudiandae contentiones eu. Nec et quaerendum philosophia, natum integre in eum. Laudem voluptatibus at eum, usu et dicta ornatus posidonium.","0.60","1","167_2835774"
"00000007","C7000","Cheesecake","Munere iriure tamquam no quo, sit ei tamquam pericula consetetur. Vel at postea insolens corrumpit. Atqui mentitum philosophia eam ne, per alienum accusam petentium eu, idque putant postulant mel in. Per verear patrioque cu. Mea ex suavitate accommodare, duo ne assum commune ponderum. Vis omittam similique ei, nec in verterem insolens.","0.70","0","430_3151480"
"00000008","G8000","Glazed Doughnut","Mel wisi decore habemus ad, et his debitis iracundia conclusionemque. Per nobis dicam an. Veri ponderum ei pri, has te solum epicuri, id numquam maiestatis nec. Autem habemus maluisset qui ea, id eum equidem erroribus adolescens. Duo ei tota noluisse intellegebat, et nec illud persius molestiae. Ei vis oblique appellantur.Lorem ipsum dolor sit amet, at per veri invidunt. Ut omnis detraxit convenire duo, utinam quaestio no qui. Vix et tempor docendi. Has et tota legere blandit. Omnium feugait ius te. Nam ei equidem dissentiunt, et nec esse dicunt.","0.80","0","167_2835774"
"00000009","F9000","Fortune Cookies","Oratio pericula sapientem te eum. Mei tritani appellantur eu. Duo inani impedit id, ex cum graece corpora vulputate. Ad partem indoctum sit.","0.90","0","167_2835774"
"00000010","D10000","Devils Food Cake","Ius nulla phaedrum ex, aliquip ullamcorper eos ea. Tale semper an duo, ut sea sint timeam. Nisl tibique te pri, cum eu latine appetere. Iusto suscipit vivendum quo in, pri an odio signiferumque.","1.00","0","430_3151480"
"00000011","P11000","Peanut Butter Cups","Vim et patrioque adolescens. Ludus ubique complectitur ius ne, mollis animal id pri, doming interesset mea et. Mel congue feugiat eu, pri cu inani doming apeirian, facilisis hendrerit ullamcorper ut pri. Sit at verterem adversarium theophrastus, id etiam partem equidem vel, et pri animal commodo dolorum.","1.10","0","326_2841738"
"00000012","C12000","Crispy Rice Treats","Cu inani nonumy vituperatoribus nec, ut sed autem aperiam, vel ei modo habemus convenire. Invidunt accusamus eu mea. Viris soluta vis ad, has tantas tempor scripserit et. Et consul essent tamquam qui, mea in idque altera eirmod. Duo no atqui consul feugiat, in mel phaedrum euripidis. Posse theophrastus id vim, eu sit reformidans complectitur, quodsi officiis dissentiunt an duo.","1.20","0","326_2841738"
